Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
CELH,33.93,2026/04/23,16:00 EDT,0.670002,33.12,33.975,32.9,4934250,20250226,27.39,25.0,5.0,,,,BUY
AMD,305.33,2026/04/23,16:00 EDT,1.87,302.01,310.22,299.76,41583982,20250206,109.94,6.0,5.0,,,,BUY
NKE,44.78,2026/04/23,16:00 EDT,-0.900002,45.58,45.75,44.24,15624551,20250108,71.23,10.0,5.0,,,,BUY
NKE,44.78,2026/04/23,16:00 EDT,-0.900002,45.58,45.75,44.24,15624551,20240904,80.77,15.0,5.0,,,,BUY
WYNN,105.61,2026/04/23,16:00 EDT,-1.03,106.08,106.08,103.11,1621704,20231115,88.495,6.0,5.0,,,,BUY
WYNN,105.61,2026/04/23,16:00 EDT,-1.03,106.08,106.08,103.11,1621704,20231109,91.73,5.0,5.0,,,,BUY
TSLA,373.72,2026/04/23,16:00 EDT,-13.79,375.485,385.3383,368.3901,93500126,,,,,,,,
TGT,130.17,2026/04/23,16:00 EDT,-0.430008,130.54,131.5,129.44,2605524,,,,,,,,
ELF,66.23,2026/04/23,16:00 EDT,0.650002,65.31,67.88,65.31,1816397,20231107,100.0,9.0,5.0,,,,BUY
CAKE,61.88,2026/04/23,16:00 EDT,-1.39,63.62,64.0,61.735,924941,20231115,32.92,20.0,5.0,,,,BUY
