Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
NKE,44.78,2026/04/23,16:00 EDT,-0.900002,45.58,45.75,44.24,15624551,20260417,46.1,10.0,,,,,BUY
HNST,3.44,2026/04/23,16:00 EDT,-0.0599999,3.5,3.5,3.352,1315075,20260327,2.85,50.0,1.31,,,,BUY
HNST,3.44,2026/04/23,16:00 EDT,-0.0599999,3.5,3.5,3.352,1315075,20260226,2.8,100.0,1.36,,,,BUY
NOW,84.78,2026/04/23,16:00 EDT,-18.29,87.25,90.0,83.58,83612942,20260225,103.0,7.0,1.8,,,,BUY
CRM,173.3,2026/04/23,16:00 EDT,-16.5,177.56,178.87,170.65,22673643,20260225,189.5,2.0,1.36,,,,BUY
CRM,173.3,2026/04/23,16:00 EDT,-16.5,177.56,178.87,170.65,22673643,20251203,237.99,4.0,,,,,BUY
ADBE,238.98,2026/04/23,16:00 EDT,-16.96,245.152,246.54,233.515,9590703,20251128,321.62,2.0,1.61,,,,BUY
CELH,33.93,2026/04/23,16:00 EDT,0.670002,33.12,33.975,32.9,4934250,20260327,34.13,14.0,,,,,BUY
CELH,33.93,2026/04/23,16:00 EDT,0.670002,33.12,33.975,32.9,4934250,20251107,42.13,10.0,,,,,BUY
META,659.15,2026/04/23,16:00 EDT,-15.5699,663.53,669.56,653.05,11599083,20251031,656.81,1.0,,,,,BUY
META,659.15,2026/04/23,16:00 EDT,-15.5699,663.53,669.56,653.05,11599083,20250801,753.51,1.0,,,,,BUY
META,659.15,2026/04/23,16:00 EDT,-15.5699,663.53,669.56,653.05,11599083,20250416,500.02,1.0,1.27,,,,BUY
META,659.15,2026/04/23,16:00 EDT,-15.5699,663.53,669.56,653.05,11599083,20250331,557.29,1.0,,,,,BUY
MSTR,172.47,2026/04/23,16:00 EDT,-6.89,175.815,180.9,171.5401,19260411,20251117,193.7,1.5,0.01,,,,SELL
MSTR,172.47,2026/04/23,16:00 EDT,-6.89,175.815,180.9,171.5401,19260411,20250205,341.51,1.5,1.28,,,,BUY
ELF,66.23,2026/04/23,16:00 EDT,0.650002,65.31,67.88,65.31,1816397,20260417,69.9,5.0,1.35,,,,BUY
ELF,66.23,2026/04/23,16:00 EDT,0.650002,65.31,67.88,65.31,1816397,20250404,54.0,7.0,1.21,,,,BUY
ELF,66.23,2026/04/23,16:00 EDT,0.650002,65.31,67.88,65.31,1816397,20250303,66.84,5.0,0.0,,,,BUY
ELF,66.23,2026/04/23,16:00 EDT,0.650002,65.31,67.88,65.31,1816397,20250203,95.19,5.0,1.19,,,,BUY
AMD,305.33,2026/04/23,16:00 EDT,1.87,302.01,310.22,299.76,41583982,20260204,208.44,2.0,,,,,BUY
AMD,305.33,2026/04/23,16:00 EDT,1.87,302.01,310.22,299.76,41583982,20251125,196.88,4.0,1.97,,,,BUY
AMD,305.33,2026/04/23,16:00 EDT,1.87,302.01,310.22,299.76,41583982,20251117,244.78,4.0,2.45,,,,BUY
AMD,305.33,2026/04/23,16:00 EDT,1.87,302.01,310.22,299.76,41583982,20250404,87.12,2.0,1.22,,,,BUY
AMD,305.33,2026/04/23,16:00 EDT,1.87,302.01,310.22,299.76,41583982,20241220,119.9,5.0,1.5,,,,BUY
AMD,305.33,2026/04/23,16:00 EDT,1.87,302.01,310.22,299.76,41583982,20241213,129.88,4.0,1.3,,,,BUY
AMD,305.33,2026/04/23,16:00 EDT,1.87,302.01,310.22,299.76,41583982,20241119,139.23,5.0,1.74,,,,BUY
EL,76.4,2026/04/23,16:00 EDT,-0.260002,76.47,77.2,74.68,2165219,20251106,90.0,6.0,,,,,BUY
EL,76.4,2026/04/23,16:00 EDT,-0.260002,76.47,77.2,74.68,2165219,20250416,52.18,3.0,1.27,,,,BUY
EL,76.4,2026/04/23,16:00 EDT,-0.260002,76.47,77.2,74.68,2165219,20241101,67.12,5.0,1.2,,,,BUY
SOFI,18.32,2026/04/23,16:00 EDT,-0.74,18.78,18.9,17.93,51402191,20260217,19.74,25.0,1.36,,,,BUY
SOFI,18.32,2026/04/23,16:00 EDT,-0.74,18.78,18.9,17.93,51402191,20251205,27.7,30.0,,,,,BUY
SOFI,18.32,2026/04/23,16:00 EDT,-0.74,18.78,18.9,17.93,51402191,20250225,13.67,20.0,1.18,,,,BUY
SOFI,18.32,2026/04/23,16:00 EDT,-0.74,18.78,18.9,17.93,51402191,20250224,14.0,29.0,1.14,,,,BUY
SOFI,18.32,2026/04/23,16:00 EDT,-0.74,18.78,18.9,17.93,51402191,20250131,16.33,20.0,0.0,,,,BUY
SOFI,18.32,2026/04/23,16:00 EDT,-0.74,18.78,18.9,17.93,51402191,20241030,11.27,31.0,1.2,,,,BUY
SHOP,124.23,2026/04/23,16:00 EDT,-7.73,129.74,130.0,121.7301,7413789,20240805,50.56,4.0,0.0,,,,BUY
FUBO,12.27,2026/04/23,16:00 EDT,-0.77,13.11,13.15,12.12,1214584,20251124,3.1,100.0,1.33,,,,BUY
FUBO,12.27,2026/04/23,16:00 EDT,-0.77,13.11,13.15,12.12,1214584,20240313,1.66,30.0,0.0,,,,BUY
FUBO,12.27,2026/04/23,16:00 EDT,-0.77,13.11,13.15,12.12,1214584,20240104,2.95,30.0,0.0,,,,BUY
FUBO,12.27,2026/04/23,16:00 EDT,-0.77,13.11,13.15,12.12,1214584,20231107,2.95,40.0,1.21,,,,BUY
TGT,130.17,2026/04/23,16:00 EDT,-0.430008,130.54,131.5,129.44,2605524,,,,,,,,
CAKE,61.88,2026/04/23,16:00 EDT,-1.39,63.62,64.0,61.735,924941,20251103,48.11,10.0,,,,,BUY
CAKE,61.88,2026/04/23,16:00 EDT,-1.39,63.62,64.0,61.735,924941,20250113,48.0,10.0,1.2,,,,BUY
CAKE,61.88,2026/04/23,16:00 EDT,-1.39,63.62,64.0,61.735,924941,20241209,48.96,14.0,1.71,,,,BUY
CAKE,61.88,2026/04/23,16:00 EDT,-1.39,63.62,64.0,61.735,924941,20240919,38.75,3.0,0.0,,,,BUY
CAKE,61.88,2026/04/23,16:00 EDT,-1.39,63.62,64.0,61.735,924941,20231011,29.95,5.0,1.2,,,,BUY
CAKE,61.88,2026/04/23,16:00 EDT,-1.39,63.62,64.0,61.735,924941,20230607,33.45,8.0,1.27,,,,BUY
AMZN,255.08,2026/04/23,16:00 EDT,-0.279999,255.3,258.79,253.07,31032997,20251021,222.08,2.0,1.33,,,,BUY
AMZN,255.08,2026/04/23,16:00 EDT,-0.279999,255.3,258.79,253.07,31032997,20250805,215.79,5.0,2.7,,,,BUY
AMZN,255.08,2026/04/23,16:00 EDT,-0.279999,255.3,258.79,253.07,31032997,20230607,122.85,1.0,1.26,,,,BUY
AMZN,255.08,2026/04/23,16:00 EDT,-0.279999,255.3,258.79,253.07,31032997,20230522,115.39,2.0,0.0,,,,BUY
PYPL,49.75,2026/04/23,16:00 EDT,-1.47,50.738,50.88,49.17,11520857,20260130,52.41,10.0,,,,,BUY
PYPL,49.75,2026/04/23,16:00 EDT,-1.47,50.738,50.88,49.17,11520857,20251120,58.23,13.0,1.89,,,,BUY
PYPL,49.75,2026/04/23,16:00 EDT,-1.47,50.738,50.88,49.17,11520857,20240905,72.22,2.0,0.0,,,,BUY
PYPL,49.75,2026/04/23,16:00 EDT,-1.47,50.738,50.88,49.17,11520857,20231101,51.55,2.0,1.19,,,,BUY
PYPL,49.75,2026/04/23,16:00 EDT,-1.47,50.738,50.88,49.17,11520857,20231018,55.78,2.0,1.19,,,,BUY
PYPL,49.75,2026/04/23,16:00 EDT,-1.47,50.738,50.88,49.17,11520857,20230818,59.28,2.0,1.26,,,,BUY
PYPL,49.75,2026/04/23,16:00 EDT,-1.47,50.738,50.88,49.17,11520857,20230803,65.7,2.0,0.0,,,,BUY
PYPL,49.75,2026/04/23,16:00 EDT,-1.47,50.738,50.88,49.17,11520857,20230710,68.32,3.0,1.28,,,,BUY
