Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
ADBE,238.98,2026/04/23,16:00 EDT,-16.96,245.152,246.54,233.515,9590703,20250811,341.29,2.0,,,,,BUY
SOFI,18.32,2026/04/23,16:00 EDT,-0.74,18.78,18.9,17.93,51402191,20251121,24.8,5.0,,,,,BUY
SOFI,18.32,2026/04/23,16:00 EDT,-0.74,18.78,18.9,17.93,51402191,20250317,12.02,1.0,,,,,BUY
SOFI,18.32,2026/04/23,16:00 EDT,-0.74,18.78,18.9,17.93,51402191,20250304,12.59,9.0,,,,,BUY
CELH,33.93,2026/04/23,16:00 EDT,0.670002,33.12,33.975,32.9,4934250,20250303,26.73,5.0,0.0,,,,BUY
CELH,33.93,2026/04/23,16:00 EDT,0.670002,33.12,33.975,32.9,4934250,20250226,27.52,15.0,0.0,,,,BUY
AMD,305.33,2026/04/23,16:00 EDT,1.87,302.01,310.22,299.76,41583982,20251120,206.79,2.0,,,,,BUY
AMD,305.33,2026/04/23,16:00 EDT,1.87,302.01,310.22,299.76,41583982,20251104,249.97,1.0,,,,,BUY
AMD,305.33,2026/04/23,16:00 EDT,1.87,302.01,310.22,299.76,41583982,20251021,239.27,3.0,1.0,,,,BUY
AMD,305.33,2026/04/23,16:00 EDT,1.87,302.01,310.22,299.76,41583982,20250226,105.66,1.0,0.0,,,,BUY
AMD,305.33,2026/04/23,16:00 EDT,1.87,302.01,310.22,299.76,41583982,20250225,106.37,2.0,,,,,BUY
AMD,305.33,2026/04/23,16:00 EDT,1.87,302.01,310.22,299.76,41583982,20250210,110.89,3.0,1.0,,,,BUY
AVTBF,0.44,2026/04/23,16:00 EDT,0.0,0.42615,0.42615,0.42615,16,20240108,0.1099,250.0,0.0,,,,BUY
AVTBF,0.44,2026/04/23,16:00 EDT,0.0,0.42615,0.42615,0.42615,16,20230807,0.1831,89.7,0.0,,,,BUY
AVTBF,0.44,2026/04/23,16:00 EDT,0.0,0.42615,0.42615,0.42615,16,20230807,0.1944,147.2273,0.0,,,,BUY
AVTBF,0.44,2026/04/23,16:00 EDT,0.0,0.42615,0.42615,0.42615,16,20230720,0.1524,24.0,0.0,,,,BUY
AVTBF,0.44,2026/04/23,16:00 EDT,0.0,0.42615,0.42615,0.42615,16,20230720,0.1525,100.0,0.0,,,,BUY
AVTBF,0.44,2026/04/23,16:00 EDT,0.0,0.42615,0.42615,0.42615,16,20230720,0.1524,10.25711,0.0,,,,BUY
AVTBF,0.44,2026/04/23,16:00 EDT,0.0,0.42615,0.42615,0.42615,16,20230720,0.17,1.67388,0.0,,,,BUY
AVTBF,0.44,2026/04/23,16:00 EDT,0.0,0.42615,0.42615,0.42615,16,20230720,0.166,54.06901,0.0,,,,BUY
HNST,3.44,2026/04/23,16:00 EDT,-0.0599999,3.5,3.5,3.352,1315075,20250812,3.92,29.0,,,,,BUY
HNST,3.44,2026/04/23,16:00 EDT,-0.0599999,3.5,3.5,3.352,1315075,20240719,3.7,18.0,0.0,,,,BUY
HNST,3.44,2026/04/23,16:00 EDT,-0.0599999,3.5,3.5,3.352,1315075,20240626,2.95,29.0,0.0,,,,BUY
